xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	isobaric_expansion_coefficient (1/K)	isothermal_compressibility (1/Pa)	Prandtl (~)	total_dynamic_viscosity (Pa*s)	total_enthalpy (J/kg)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (m/s)	total_thermal_conductivity (W/m/K)	Reynolds (~)	Gruneisen (~)	mass_flow_rate (kg/s)
3.300000000000000000e+01	2.149401404143270629e+05	3.053253959747683766e+01	3.377454545940732356e+00	1.173736884545561665e+01	3.357071952511921087e-02	4.970694101602138143e-06	7.211481396912955422e-01	4.661652950598837455e-06	1.604795313330391655e+05	5.238369204879842073e+03	3.118277977928853034e+03	3.245612265635512017e+02	3.386191812227030973e-02	1.276885030849891773e+05	6.750840029893712124e-01	9.340527458887463996e-03
3.350000000000000000e+01	2.143174593423308106e+05	3.053922726923521580e+01	3.366961963821193837e+00	1.177375833619757195e+01	3.356988544070722141e-02	4.989402946447084665e-06	7.211187502053671983e-01	4.661444084998732519e-06	1.604811949686518929e+05	5.238202449129440538e+03	3.118269118221576264e+03	3.245524992553503694e+02	3.386070299179771287e-02	1.276942244312795228e+05	6.750524153926088511e-01	9.340378246917911340e-03
3.400000000000000000e+01	2.136926245049965219e+05	3.054586586645330470e+01	3.356445552006673161e+00	1.181062294734227613e+01	3.356905096599240024e-02	5.008252630622424672e-06	7.210893205718195142e-01	4.661235214202132969e-06	1.604828589572652127e+05	5.238035677361260241e+03	3.118260258334638365e+03	3.245437733929496176e+02	3.385948960276087549e-02	1.276999464326702437e+05	6.750208287951087183e-01	9.340358541788893257e-03
3.450000000000000000e+01	2.130660249131633900e+05	3.055247749289118175e+01	3.345908922257299523e+00	1.184763758085624730e+01	3.356821610091826474e-02	5.027244750902201720e-06	7.210598507079696295e-01	4.661026338209358982e-06	1.604845232989278738e+05	5.237868889572771877e+03	3.118251398266529122e+03	3.245350489765416455e+02	3.385827795905633347e-02	1.277056690892597690e+05	6.749892431969283235e-01	9.340217978629449663e-03
3.500000000000000000e+01	2.124372716618911945e+05	3.055904206722715344e+01	3.335348180064319656e+00	1.188511082618335557e+01	3.356738084542804784e-02	5.046380928290145140e-06	7.210303405308113867e-01	4.660817457020740053e-06	1.604861879936887999e+05	5.237702085761426133e+03	3.118242538015736045e+03	3.245263260063200619e+02	3.385706806459639479e-02	1.277113924011463096e+05	6.749576585981257315e-01	9.340186517428383448e-03
3.550000000000000000e+01	2.118066901377178147e+05	3.056557838717836262e+01	3.324766320180370105e+00	1.192276749850124773e+01	3.356654519946456611e-02	5.065662808481006533e-06	7.210007899570101131e-01	4.660608570636603139e-06	1.604878530415971181e+05	5.237535265924642772e+03	3.118233677580747099e+03	3.245176044824792712e+02	3.385585992330925054e-02	1.277171163684281346e+05	6.749260749987561203e-01	9.340052934957362996e-03
3.600000000000000000e+01	2.111739490959375107e+05	3.057206942623198387e+01	3.314160002605715860e+00	1.196087042793116950e+01	3.356570916297026835e-02	5.085092062332453686e-06	7.209711989029016221e-01	4.660399679057276039e-06	1.604895184427021304e+05	5.237368430059813363e+03	3.118224816960047065e+03	3.245088844052145305e+02	3.385465353913907904e-02	1.277228409912035422e+05	6.748944923988758893e-01	9.340011123400413645e-03
3.650000000000000000e+01	2.105393198057201225e+05	3.057853115821586698e+01	3.303531696940613660e+00	1.199918710860294091e+01	3.356487273588724951e-02	5.104670386347871726e-06	7.209415672844885492e-01	4.660190782283086557e-06	1.604911841970532842e+05	5.237201578164301282e+03	3.118215956152119816e+03	3.245001657747218360e+02	3.385344891604619155e-02	1.277285662695708743e+05	6.748629107985389952e-01	9.339883083595909921e-03
3.700000000000000000e+01	2.099025198538233526e+05	3.058494916447187606e+01	3.292878532158536764e+00	1.203794133741645211e+01	3.356403591815725063e-02	5.124399503170283280e-06	7.209118950174395746e-01	4.659981880314364187e-06	1.604928503047003178e+05	5.237034710235447164e+03	3.118207095155446950e+03	3.244914485911981501e+02	3.385224605800713632e-02	1.277342922036283417e+05	6.748313301978003942e-01	9.339832107462760213e-03
3.750000000000000000e+01	2.092637745079731976e+05	3.059133700920948939e+01	3.282202531069981166e+00	1.207693707649228543e+01	3.356319870972164499e-02	5.144281162087749315e-06	7.208821820170852046e-01	4.659772973151439274e-06	1.604945167656929989e+05	5.236867826270560727e+03	3.118198233968509157e+03	3.244827328548412311e+02	3.385104496901483045e-02	1.277400187934743008e+05	6.747997505967135989e-01	9.339708369240343547e-03
3.800000000000000000e+01	2.086228426444586657e+05	3.059768249776510629e+01	3.271501218552309354e+00	1.211636486587414829e+01	3.356236111052141730e-02	5.164317139550534426e-06	7.208524281984169946e-01	4.659564060794644700e-06	1.604961835800813860e+05	5.236700926266928036e+03	3.118189372589783943e+03	3.244740185658495761e+02	3.384984565307869175e-02	1.277457460392069333e+05	6.747681719953311230e-01	9.339649224775679187e-03
3.850000000000000000e+01	2.079799104507619049e+05	3.060399714037507124e+01	3.260776237403467892e+00	1.215605980883299786e+01	3.356152312049721226e-02	5.184509239700366896e-06	7.208226334760822196e-01	4.659355143244313350e-06	1.604978507479156542e+05	5.236534010221801509e+03	3.118180511017749268e+03	3.244653057244226488e+02	3.384864811422476361e-02	1.277514739409245230e+05	6.747365943937053689e-01	9.339528715315585997e-03
3.900000000000000000e+01	2.073347716550151818e+05	3.061027063697586925e+01	3.250025446027320797e+00	1.219618414498568626e+01	3.356068473958929294e-02	5.204859294912119662e-06	7.207927977643843187e-01	4.659146220500774719e-06	1.604995182692462113e+05	5.236367078132413553e+03	3.118171649250879909e+03	3.244565943307607085e+02	3.384745235649581213e-02	1.277572024987253972e+05	6.747050177918877401e-01	9.339462235415388336e-03
3.950000000000000000e+01	2.066875792604466260e+05	3.061651274889150542e+01	3.239250164047175584e+00	1.223659955523776866e+01	3.355984596773757545e-02	5.225369166348261133e-06	7.207629209772772327e-01	4.658937292564362539e-06	1.605011861441236688e+05	5.236200129995962016e+03	3.118162787287648825e+03	3.244478843850648104e+02	3.384625838395151354e-02	1.277629317127078393e+05	6.746734421899295286e-01	9.339344025384058862e-03
4.000000000000000000e+01	2.060381563559213246e+05	3.062271478823697635e+01	3.228448530176279530e+00	1.227744422790945933e+01	3.355900680488157345e-02	5.246040744526422330e-06	7.207330030283665145e-01	4.658728359435416470e-06	1.605028543725987256e+05	5.236033165809625643e+03	3.118153925126527611e+03	3.244391758875369760e+02	3.384506620066854432e-02	1.277686615829699585e+05	6.746418675878805837e-01	9.339270902120819229e-03
4.050000000000000000e+01	2.053866277774694900e+05	3.062888502888128173e+01	3.217621589181521635e+00	1.231860251659997019e+01	3.355816725096046754e-02	5.266875949900435224e-06	7.207030438309018905e-01	4.658519421114266854e-06	1.605045229547223717e+05	5.235866185570548623e+03	3.118145062765987859e+03	3.244304688383798521e+02	3.384387581074072698e-02	1.277743921096101549e+05	6.746102939857903102e-01	9.339154184266812431e-03
4.100000000000000000e+01	2.047328412941185234e+05	3.063501615316684834e+01	3.206767714707692285e+00	1.236019219782230394e+01	3.355732730591307056e-02	5.287876733455249716e-06	7.206730432977789258e-01	4.658310477601253352e-06	1.605061918905455968e+05	5.235699189275850586e+03	3.118136200204495708e+03	3.244217632377972222e+02	3.384268721827915494e-02	1.277801232927266683e+05	6.745787213837082241e-01	9.339074988234739860e-03
4.150000000000000000e+01	2.040768978389477124e+05	3.064111517141804342e+01	3.195887717687077245e+00	1.240211696075981962e+01	3.355648696967779288e-02	5.309045077316064679e-06	7.206430013415332514e-01	4.658101528896710541e-06	1.605078611801198858e+05	5.235532176922627514e+03	3.118127337440519568e+03	3.244130590859934387e+02	3.384150042741234515e-02	1.277858551324177242e+05	6.745471497816813988e-01	9.338959058907154304e-03
4.200000000000000000e+01	2.034186658738194965e+05	3.064717592908442256e+01	3.184980168018900937e+00	1.244447728455642910e+01	3.355564624219273262e-02	5.330382995372123671e-06	7.206129178743386765e-01	4.657892575000976389e-06	1.605095308234965778e+05	5.235365148507941740e+03	3.118118474472523303e+03	3.244043563831737629e+02	3.384031544228637695e-02	1.277915876287816063e+05	6.745155791797583511e-01	9.338874255806641975e-03
4.250000000000000000e+01	2.027582260489669861e+05	3.065320436456011066e+01	3.174045677579617308e+00	1.248719334617586263e+01	3.355480512339555077e-02	5.351892533915563285e-06	7.205827928080049682e-01	4.657683615914392249e-06	1.605112008207273611e+05	5.235198104028831040e+03	3.118109611298971231e+03	3.243956551295444228e+02	3.383913226706500299e-02	1.277973207819165254e+05	6.744840095779851552e-01	9.338758499000586466e-03
4.300000000000000000e+01	2.020954641239331395e+05	3.065919530922438341e+01	3.163082979565718045e+00	1.253035098997783692e+01	3.355396361322361687e-02	5.373575772295727460e-06	7.205526260539736327e-01	4.657474651637294393e-06	1.605128711718640989e+05	5.235031043482307723e+03	3.118100747918324032e+03	3.243869553253123854e+02	3.383795090592983668e-02	1.278030545919208234e+05	6.744524409764087736e-01	9.338668463826445623e-03
4.350000000000000000e+01	2.014304435356225295e+05	3.066515379340985348e+01	3.152092516239842990e+00	1.257388445433513269e+01	3.355312171161387719e-02	5.395434823589416187e-06	7.205224175233163608e-01	4.657265682170024175e-06	1.605145418769588578e+05	5.234863966865351358e+03	3.118091884329042387e+03	3.243782569706855838e+02	3.383677136308044231e-02	1.278087890588926675e+05	6.744208733750742812e-01	9.338552337412266494e-03
4.400000000000000000e+01	2.007630644512391009e+05	3.067107548295543751e+01	3.141073156014287715e+00	1.261786722282429096e+01	3.355227941850291717e-02	5.417471835287506504e-06	7.204921671267314753e-01	4.657056707512923798e-06	1.605162129360637337e+05	5.234696874174921504e+03	3.118083020529583791e+03	3.243695600658725766e+02	3.383559364273452247e-02	1.278145241829303413e+05	6.743893067740261982e-01	9.338457366561728548e-03
4.450000000000000000e+01	2.000933756937802245e+05	3.067696464019782354e+01	3.130025196422226319e+00	1.266224553170234657e+01	3.355143673382697533e-02	5.439688989998406588e-06	7.204618747745409335e-01	4.656847727666336308e-06	1.605178843492312299e+05	5.234529765407945888e+03	3.118074156518404834e+03	3.243608646110830023e+02	3.383441774912804290e-02	1.278202599641320121e+05	6.743577411733091553e-01	9.338340390399255120e-03
4.500000000000000000e+01	1.994212893783084874e+05	3.068281763600516143e+01	3.118947617159435470e+00	1.270708244379886942e+01	3.355059365752188771e-02	5.462088506168836744e-06	7.204315403766862191e-01	4.656638742630602215e-06	1.605195561165138788e+05	5.234362640561323133e+03	3.118065292293961193e+03	3.243521706065272951e+02	3.383324368651539210e-02	1.278259964025960071e+05	6.743261765729664514e-01	9.338240711973495173e-03
4.550000000000000000e+01	1.987468419124478824e+05	3.068863808439384755e+01	3.107840592025790993e+00	1.275233444208561728e+01	3.354975018952314342e-02	5.484672638822458229e-06	7.204011638427271214e-01	4.656429752406067106e-06	1.605212282379644457e+05	5.234195499631925486e+03	3.118056427854704907e+03	3.243434780524165149e+02	3.383207145916952707e-02	1.278317334984205081e+05	6.742946129730408300e-01	9.338122457650935293e-03
4.600000000000000000e+01	1.980699552650710102e+05	3.069442295069343629e+01	3.096703191592442561e+00	1.279805582180097367e+01	3.354890632976587767e-02	5.507443680316819165e-06	7.203707450818384039e-01	4.656220756993076571e-06	1.605229007136358123e+05	5.234028342616603368e+03	3.118047563199087563e+03	3.243347869489629716e+02	3.383090107138211206e-02	1.278374712517036969e+05	6.742630503735745906e-01	9.338018240187357863e-03
4.650000000000000000e+01	1.973906552855535119e+05	3.070017530284324181e+01	3.085535483608653262e+00	1.284421183038316094e+01	3.354806207818481628e-02	5.530403961119174034e-06	7.203402840028046983e-01	4.656011756391974506e-06	1.605245735435812385e+05	5.233861169512171728e+03	3.118038698325559835e+03	3.243260972963795439e+02	3.382973252746369897e-02	1.278432096625439153e+05	6.742314887746090335e-01	9.337898322159803033e-03
4.700000000000000000e+01	1.967088720128216955e+05	3.070589260617784433e+01	3.074336612099425547e+00	1.289084940227288101e+01	3.354721743471435202e-02	5.553555850601761224e-06	7.203097805140191712e-01	4.655802750603105653e-06	1.605262467278539261e+05	5.233693980315423687e+03	3.118029833232568308e+03	3.243174090948799630e+02	3.382856583174385923e-02	1.278489487310393743e+05	6.741999281761851259e-01	9.337789681998330191e-03
4.750000000000000000e+01	1.960246223048243264e+05	3.071157746993149829e+01	3.063106553626028017e+00	1.293794129877181476e+01	3.354637239928846826e-02	5.576901757857046826e-06	7.202792345234803051e-01	4.655593739626820684e-06	1.605279202665073972e+05	5.233526775023123264e+03	3.118020967918560928e+03	3.243087223446789835e+02	3.382740098857135724e-02	1.278546884572882263e+05	6.741683685783428359e-01	9.337667749929964497e-03
4.800000000000000000e+01	1.953378427493502677e+05	3.071722777871383769e+01	3.051844510769877505e+00	1.298552828874722920e+01	3.354552697184080140e-02	5.600444132533572511e-06	7.202486459387867912e-01	4.655384723463466035e-06	1.605295941595952609e+05	5.233359553632002644e+03	3.118012102381981094e+03	3.243000370459921555e+02	3.382623800231430305e-02	1.278604288413887116e+05	6.741368099811216874e-01	9.337554757389341861e-03
4.850000000000000000e+01	1.946485425333463063e+05	3.072284575777698734e+01	3.040550381370061395e+00	1.303358959650859106e+01	3.354468115230463399e-02	5.624185465692995326e-06	7.202180146671370853e-01	4.655175702113390684e-06	1.605312684071714466e+05	5.233192316138775823e+03	3.118003236621272208e+03	3.242913531990357683e+02	3.382507687736030499e-02	1.278661698834390700e+05	6.741052523845603162e-01	9.337430489530090805e-03
4.900000000000000000e+01	1.939566634937434283e+05	3.072842964193286264e+01	3.029223413792857755e+00	1.308216083880018665e+01	3.354383494061281834e-02	5.648128290688940280e-06	7.201873406153230794e-01	4.654966675576945303e-06	1.605329430092900584e+05	5.233025062540117688e+03	3.117994370634875395e+03	3.242826708040270773e+02	3.382391761811665704e-02	1.278719115835374832e+05	6.740736957886968028e-01	9.337313174043876396e-03
4.950000000000000000e+01	1.932622082582555886e+05	3.073398133645455488e+01	3.017863437587560149e+00	1.313122682463940905e+01	3.354298833669790147e-02	5.672275184068361985e-06	7.201566236897289919e-01	4.654757643854480563e-06	1.605346179660051421e+05	5.232857792832687664e+03	3.117985504421230416e+03	3.242739898611841909e+02	3.382276022901049145e-02	1.278776539417821332e+05	6.740421401935688950e-01	9.337186271494039846e-03
5.000000000000000000e+01	1.925651227992760250e+05	3.073949936714117825e+01	3.006469735916347474e+00	1.318081887574881073e+01	3.354214134049203488e-02	5.696628766496024367e-06	7.201258637963262599e-01	4.654548606946346288e-06	1.605362932773712673e+05	5.232690507013108800e+03	3.117976637978775670e+03	3.242653103707261266e+02	3.382160471448892453e-02	1.278833969582713326e+05	6.740105855992133410e-01	9.337064625834350443e-03
5.050000000000000000e+01	1.918654041208708950e+05	3.074498537425138167e+01	2.995042078749633685e+00	1.323092665704902515e+01	3.354129395192698149e-02	5.721191703702833671e-06	7.200950608406718745e-01	4.654339564852899080e-06	1.605379689434429456e+05	5.232523205077982311e+03	3.117967771305945917e+03	3.242566323328725844e+02	3.382045107901927861e-02	1.278891406331031321e+05	6.739790320056661121e-01	9.336934807571018596e-03
5.100000000000000000e+01	1.911630013726473844e+05	3.075043812364378226e+01	2.983579774542651997e+00	1.328157791758042627e+01	3.354044617093412950e-02	5.745966707458752363e-06	7.200642147279019412e-01	4.654130517574488763e-06	1.605396449642749794e+05	5.232355887023874857e+03	3.117958904401176369e+03	3.242479557478443439e+02	3.381929932708920006e-02	1.278948849663758592e+05	6.739474794129622914e-01	9.336808791266625399e-03
5.150000000000000000e+01	1.904579067224180908e+05	3.075585903795820997e+01	2.972082540944747553e+00	1.333276657944208310e+01	3.353959799744452713e-02	5.770956536571020680e-06	7.200333253627317909e-01	4.653921465111469397e-06	1.605413213399222877e+05	5.232188552847333085e+03	3.117950037262900423e+03	3.242392806158628673e+02	3.381814946320686049e-02	1.279006299581876519e+05	6.739159278211370729e-01	9.336675789824083749e-03
5.200000000000000000e+01	1.897500716676532757e+05	3.076124707909605860e+01	2.960549703430417345e+00	1.338451742477288775e+01	3.353874943138881320e-02	5.796163997908456636e-06	7.200023926494494297e-01	4.653712407464200124e-06	1.605429980704401096e+05	5.232021202544870903e+03	3.117941169889547837e+03	3.242306069371506396e+02	3.381700149190115107e-02	1.279063756086366193e+05	6.738843772302245405e-01	9.336545331863576463e-03
5.250000000000000000e+01	1.890394842033213936e+05	3.076660349319890031e+01	2.948980933363936519e+00	1.343682814802438408e+01	3.353790047269729346e-02	5.821591947452646778e-06	7.199714164919133186e-01	4.653503344633034156e-06	1.605446751558836841e+05	5.231853836112978570e+03	3.117932302279548821e+03	3.242219347119308850e+02	3.381585541772181430e-02	1.279121219178210304e+05	6.738528276402577788e-01	9.336408889574789732e-03
5.300000000000000000e+01	1.883260974511882814e+05	3.077192739988856118e+01	2.937375565970550273e+00	1.348972106885176103e+01	3.353705112129983651e-02	5.847243291376837461e-06	7.199403967935473769e-01	4.653294276618327248e-06	1.605463525963085121e+05	5.231686453548114514e+03	3.117923434431330861e+03	3.242132639404277370e+02	3.381471124523966615e-02	1.279178688858390815e+05	6.738212790512696504e-01	9.336273890467001318e-03
5.350000000000000000e+01	1.876098957938381063e+05	3.077721990480175407e+01	2.925733231343931706e+00	1.354319726985226247e+01	3.353620137712602645e-02	5.873120987153427887e-06	7.199093334573390957e-01	4.653085203420437695e-06	1.605480303917703568e+05	5.231519054846712606e+03	3.117914566343319621e+03	3.242045946228662388e+02	3.381356897904676251e-02	1.279236165127889108e+05	6.737897314632925738e-01	9.336133756188439922e-03
5.400000000000000000e+01	1.868908333392657223e+05	3.078248025156770851e+01	2.914053268000445840e+00	1.359727702374814839e+01	3.353535124010497553e-02	5.899228044690851795e-06	7.198782263858345409e-01	4.652876125039727179e-06	1.605497085423250974e+05	5.231351640005180343e+03	3.117905698013940309e+03	3.241959267594722292e+02	3.381242862375660047e-02	1.279293647987686709e+05	6.737581848763573023e-01	9.335994089439565366e-03
5.450000000000000000e+01	1.861688913335942489e+05	3.078770943721696796e+01	2.902335268930473333e+00	1.365196450704819142e+01	3.353450071016550460e-02	5.925567527500898132e-06	7.198470754811342465e-01	4.652667041476553148e-06	1.605513870480287296e+05	5.231184209019894297e+03	3.117896829441614500e+03	3.241872603504725134e+02	3.381129018400427094e-02	1.279351137438765873e+05	6.737266392904951440e-01	9.335850015693926765e-03
5.500000000000000000e+01	1.854440243005041848e+05	3.079290679929918184e+01	2.890578570116896895e+00	1.370727828226193701e+01	3.353364978723598344e-02	5.952142553897304177e-06	7.198158806448893277e-01	4.652457952731277286e-06	1.605530659089375986e+05	5.231016761887201028e+03	3.117887960624762854e+03	3.241785953960946358e+02	3.381015366444668768e-02	1.279408633482107252e+05	6.736950947057357419e-01	9.335705528744769888e-03
5.550000000000000000e+01	1.847162107573313406e+05	3.079807325498537907e+01	2.878782730920283583e+00	1.376322540733633737e+01	3.353279847124448348e-02	5.978956298226693468e-06	7.197846417782980399e-01	4.652248858804259582e-06	1.605547451251080201e+05	5.230849298603426178e+03	3.117879091561805126e+03	3.241699318965671068e+02	3.380901906976278154e-02	1.279466136118692957e+05	6.736635511221087391e-01	9.335557269228033500e-03
5.600000000000000000e+01	1.839854051242655842e+05	3.080320820837795992e+01	2.866947079444325475e+00	1.381982300021148191e+01	3.353194676211865288e-02	6.006011992132806354e-06	7.197533587821025591e-01	4.652039759695861718e-06	1.605564246965966886e+05	5.230681819164867193e+03	3.117870222251158793e+03	3.241612698521192897e+02	3.380788640465364620e-02	1.279523645349505387e+05	6.736320085396426682e-01	9.335407783882893051e-03
5.650000000000000000e+01	1.832515835438995564e+05	3.080831252326399294e+01	2.855071144335915800e+00	1.387708086364862226e+01	3.353109465978578591e-02	6.033312925855133640e-06	7.197220315565820981e-01	4.651830655406449612e-06	1.605581046234604728e+05	5.230514323567786050e+03	3.117861352691239063e+03	3.241526092629814571e+02	3.380675567384280877e-02	1.279581161175524176e+05	6.736004669583657289e-01	9.335255091294009447e-03
5.700000000000000000e+01	1.825146998503363866e+05	3.081338564479253250e+01	2.843154240810164435e+00	1.393501487116444792e+01	3.353024216417278131e-02	6.060862449563039225e-06	7.196906600015521294e-01	4.651621545936387490e-06	1.605597849057562707e+05	5.230346811808425628e+03	3.117852482880460684e+03	3.241439501293845638e+02	3.380562688207638250e-02	1.279638683597731724e+05	6.735689263783053438e-01	9.335100403658492738e-03
5.750000000000000000e+01	1.817747281252224348e+05	3.081842840841491338e+01	2.831195869282917776e+00	1.399363750588380562e+01	3.352938927520615620e-02	6.088663974726475394e-06	7.196592440163568360e-01	4.651412431286038728e-06	1.605614655435412424e+05	5.230179283882994241e+03	3.117843612817235680e+03	3.241352924515607015e+02	3.380450003412328180e-02	1.279696212617109704e+05	6.735373867994878250e-01	9.334943027820005040e-03
5.800000000000000000e+01	1.810316211567096470e+05	3.082344027584858637e+01	2.819195327274337970e+00	1.405296353499982764e+01	3.352853599281210156e-02	6.116720975524514762e-06	7.196277834998685563e-01	4.651203311455768397e-06	1.605631465368728095e+05	5.230011739787682927e+03	3.117834742499974254e+03	3.241266362297427577e+02	3.380337513477543049e-02	1.279753748234639206e+05	6.735058482219398179e-01	9.334782907752565626e-03
5.850000000000000000e+01	1.802853512516104674e+05	3.082842207866563555e+01	2.807152089133280626e+00	1.411300812828686979e+01	3.352768231691635736e-02	6.145036990292887225e-06	7.195962783504795679e-01	4.650994186445944956e-06	1.605648278858084523e+05	5.229844179518640885e+03	3.117825871927085245e+03	3.241179814641644725e+02	3.380225218884798377e-02	1.279811290451301466e+05	6.734743106456861916e-01	9.334620594002045538e-03
5.900000000000000000e+01	1.795358697016554652e+05	3.083337327086121959e+01	2.795065429953828229e+00	1.417378502395879458e+01	3.352682824744435131e-02	6.173615623011806885e-06	7.195647284661010890e-01	4.650785056256937713e-06	1.605665095904059417e+05	5.229676603071999125e+03	3.117817001096977492e+03	3.241093281550602683e+02	3.380113120117952258e-02	1.279868839268077136e+05	6.734427740707513710e-01	9.334454784069299779e-03
5.950000000000000000e+01	1.787831473094093963e+05	3.083829470484944579e+01	2.782934799973171724e+00	1.423531215635084024e+01	3.352597378432110864e-02	6.202460544835385750e-06	7.195331337441561725e-01	4.650575920889112585e-06	1.605681916507232818e+05	5.229509010443858642e+03	3.117808130008054377e+03	3.241006763026658746e+02	3.380001217663227558e-02	1.279926394685948326e+05	6.734112384971602250e-01	9.334287271912398987e-03
6.000000000000000000e+01	1.780271334158467362e+05	3.084318580192438830e+01	2.770759447076920345e+00	1.429760225030584841e+01	3.352511892747125910e-02	6.231575495664019114e-06	7.195014940815774862e-01	4.650366780342841419e-06	1.605698740668184473e+05	5.229341401630293149e+03	3.117799258658720191e+03	3.240920259072175895e+02	3.379889512009235514e-02	1.279983956705895398e+05	6.733797039249357352e-01	9.334115485823189437e-03
6.050000000000000000e+01	1.772677975865286135e+05	3.084804746123643682e+01	2.758538799246054829e+00	1.436067615764566696e+01	3.352426367681909936e-02	6.260964285761134279e-06	7.194698093748009837e-01	4.650157634618493523e-06	1.605715568387497333e+05	5.229173776627349980e+03	3.117790387047378317e+03	3.240833769689525070e+02	3.379778003646995155e-02	1.280041525328899879e+05	6.733481703541003283e-01	9.333942507852263301e-03
6.100000000000000000e+01	1.765050867398338451e+05	3.085287904476586007e+01	2.746272072194576364e+00	1.442454554025597346e+01	3.352340803228850280e-02	6.290630797415794261e-06	7.194380795197619083e-01	4.649948483716440743e-06	1.605732399665756675e+05	5.229006135431042821e+03	3.117781515172428044e+03	3.240747294881089715e+02	3.379666693069956901e-02	1.280099100555942714e+05	6.733166377846763195e-01	9.333764428329213714e-03
6.150000000000000000e+01	1.757389694808955246e+05	3.085768152646691220e+01	2.733958673514600424e+00	1.448923440155407860e+01	3.352255199380297507e-02	6.320578986652656565e-06	7.194063044118903516e-01	4.649739327637056621e-06	1.605749234503548651e+05	5.228838478037363529e+03	3.117772643032268206e+03	3.240660834649258959e+02	3.379555580774026152e-02	1.280156682388004701e+05	6.732851062166848033e-01	9.333585709424658053e-03
6.200000000000000000e+01	1.749693898016283347e+05	3.086245417970141602e+01	2.721597781467765209e+00	1.455475321943320743e+01	3.352169556128566097e-02	6.350812884990883681e-06	7.193744839461061469e-01	4.649530166380714699e-06	1.605766072901462612e+05	5.228670804442273038e+03	3.117763770625295365e+03	3.240574388996431594e+02	3.379444667257586188e-02	1.280214270826066204e+05	6.732535756501462076e-01	9.333400985450780382e-03
6.250000000000000000e+01	1.741963156463194755e+05	3.086719808460175329e+01	2.709188785256041232e+00	1.462112947355575621e+01	3.352083873465932368e-02	6.381336601253642637e-06	7.193426180168139838e-01	4.649320999947785976e-06	1.605782914860087621e+05	5.228503114641706816e+03	3.117754897949905626e+03	3.240487957925016076e+02	3.379333953021520370e-02	1.280271865871109767e+05	6.732220460850812938e-01	9.333216242299425397e-03
6.300000000000000000e+01	1.734196875285459391e+05	3.087191239269865406e+01	2.696730819940607482e+00	1.468837225583167516e+01	3.351998151384633085e-02	6.412154323429914748e-06	7.193107065178990789e-01	4.649111828338650772e-06	1.605799760380016814e+05	5.228335408631571227e+03	3.117746025004491912e+03	3.240401541437428818e+02	3.379223438569238513e-02	1.280329467524114152e+05	6.731905175215088244e-01	9.333024485655825112e-03
6.350000000000000000e+01	1.726394730696069309e+05	3.087659832630535561e+01	2.684223258595716199e+00	1.475651295046749567e+01	3.351912389876868931e-02	6.443270320590344391e-06	7.192787493427210688e-01	4.648902651553680086e-06	1.605816609461843036e+05	5.228167686407745350e+03	3.117737151787446692e+03	3.240315139536095899e+02	3.379113124406697005e-02	1.280387075786061614e+05	6.731589899594475623e-01	9.332833426639923491e-03
6.400000000000000000e+01	1.718556086867742997e+05	3.088125487656619583e+01	2.671665186698299443e+00	1.482555896706173648e+01	3.351826588934800344e-02	6.474688944859021585e-06	7.192467463841107911e-01	4.648693469593256776e-06	1.605833462106163788e+05	5.227999947966078253e+03	3.117728278297159704e+03	3.240228752223450783e+02	3.379003011042427257e-02	1.280444690657931933e+05	6.731274633989154932e-01	9.332634207622042197e-03
6.450000000000000000e+01	1.710680620720468287e+05	3.088588345018106907e+01	2.659055963872273054e+00	1.489554614393085963e+01	3.351740748550552373e-02	6.506414633443086439e-06	7.192146975343627346e-01	4.648484282457756080e-06	1.605850318313576281e+05	5.227832193302393534e+03	3.117719404532018416e+03	3.240142379501936603e+02	3.378893098987559990e-02	1.280502312140705617e+05	6.730959378399301585e-01	9.332436533156671099e-03
6.500000000000000000e+01	1.702767648413419956e+05	3.089048283228459368e+01	2.646394618796727993e+00	1.496647979960204644e+01	3.351654868716211211e-02	6.538451910722117181e-06	7.191826026852318199e-01	4.648275090147554926e-06	1.605867178084678890e+05	5.227664422412488420e+03	3.117710530490411202e+03	3.240056021374007287e+02	3.378783388755847439e-02	1.280559940235364338e+05	6.730644132825079895e-01	9.332229375321954984e-03
6.550000000000000000e+01	1.694816852275545825e+05	3.089505466428093072e+01	2.633680500915179135e+00	1.503840092046453591e+01	3.351568949423824884e-02	6.570805390399430364e-06	7.191504617279275147e-01	4.648065892663037020e-06	1.605884041420075228e+05	5.227496635292127394e+03	3.117701656170722345e+03	3.239969677842122451e+02	3.378673880863691803e-02	1.280617574942887441e+05	6.730328897266650845e-01	9.332024778749052618e-03
6.600000000000000000e+01	1.686827492282735475e+05	3.089959747049697825e+01	2.620912573836984283e+00	1.511131218886912286e+01	3.351482990665399786e-02	6.603479777717365947e-06	7.191182745531080611e-01	4.647856690004582680e-06	1.605900908320367162e+05	5.227328831937050381e+03	3.117692781571334763e+03	3.239883348908752509e+02	3.378564575830170919e-02	1.280675216264255723e+05	6.730013671724165425e-01	9.331809152508188307e-03
